No,Regional Office,Kode Cabang,Nama Cabang,Jenis Cabang,Alamat,Provinsi,Kota/Kabupaten
96,Jakarta 2,420,KC Jakarta Panglima Polim,KC,"Ruko Grand Panglima Polim Kav 20-21",DKI Jakarta,Kota Jakarta Selatan
97,Jakarta 2,428,KC LEBAK BULUS,KC,"Jl. Karang Tengah Raya No.9H RT 06 RW 04",DKI Jakarta,Kota Jakarta Selatan
98,Jakarta 2,430,KC Jakarta Radio Dalam,KC,"Jl. Radio Dalam No.122",DKI Jakarta,Kota Jakarta Selatan
99,Jakarta 2,444,KC Tambun,KC,"Ruko Tambun City Blok RC1,RE1,RE2",Jawa Barat,Kab. Bekasi
100,Jakarta 2,139,KC Bekasi,KC,"Jl. Ir. Juanda No.93",Jawa Barat,Kota Bekasi
101,Jakarta 2,2245,KCP CISARUA,KCP,"Jl. Raya Puncak Km 81 Kampung Anyar No. 5 RT 04/03",Jawa Barat,Kab. Bogor
102,Jakarta 2,384,KC Cibubur,KC,"Ruko Citra Grand Blok R11,12 dan 15",Jawa Barat,Kota Bekasi
103,Jakarta 2,339,KC Jakarta Pasar Minggu,KC,"Jl. Ragunan Raya 39",DKI Jakarta,Kota Jakarta Selatan
104,Jakarta 2,671,KC BURSA EFEK INDONESIA,KC,"JSX Building Tower Jl. Jend Sudirman Kav 52-53",DKI Jakarta,Kota Jakarta Selatan
105,Jakarta 2,426,KC BRI Jakarta Menara Brilian,KC,"Menara Brilian Lt.1-2, Jl. Gatot Subroto Kav.64 No.177A, Kel. Menteng, Kec. Tebet, Jakarta Selatan",DKI Jakarta,Kota Jakarta Selatan
106,Jakarta 2,390,KC Jakarta Pancoran,KC,"Signature Park Tower A Lantai GF No. 5 Jl. MT Haryono Kav. 22",DKI Jakarta,Kota Jakarta Selatan
107,Jakarta 2,538,KC Depok,KC,"Jl. Margonda Raya No. 33",Jawa Barat,Kota Depok
108,Jakarta 2,319,KC Cikarang,KC,"Ruko Cikarang Comersial Centre, Jl. Raya Cikarang - Cibarusah KM 40",Jawa Barat,Kab. Bekasi
109,Jakarta 2,423,KC BEKASI SILIWANGI,KC,"Jl. Raya Siliwangi, Kota Bekasi",Jawa Barat,Kota Bekasi
110,Jakarta 2,1133,KCP CIPULIR,KCP,"Jl. Ciledug Raya No. 15 Cipulir",DKI Jakarta,Kota Jakarta Selatan
111,Jakarta 2,116,KC Karawang,KC,"Jl. Tuparev No. 27",Jawa Barat,Kab. Karawang
112,Jakarta 2,443,KC Jakarta TB Simatupang,KC,"Unit Perkantoran Tower A Kompleks 18 Office Park Jl. TB Simatupang No.18",DKI Jakarta,Kota Jakarta Selatan
113,Jakarta 2,2101,KC Mabes TNI Cilangkap,KC,"Jl. Raya Hankam",DKI Jakarta,Kota Jakarta Timur
114,Jakarta 2,330,KC Jakarta Fatmawati,KC,"Jl. RS Fatmawati No, 37ABC RT 05 RW 03",DKI Jakarta,Kota Jakarta Selatan
115,Jakarta 2,362,KC Jakarta Pondok Indah,KC,"Jl. Sultan Iskandar Muda No.03 B, Kel. Kebayoran Lama Selatan, Kec. Kebayoran Lama, Jakarta Selatan",DKI Jakarta,Kota Jakarta Selatan
116,Jakarta 2,595,KCP KAMPUS IPB,KCP,"Kampus Institut Pertanian Bogor",Jawa Barat,Kab. Bogor
117,Jakarta 2,206,Jkt KCK,Jkt,"Gd. BRI II Jl. Jend. Sudirman No. 44 - 46",DKI Jakarta,Kota Jakarta Pusat
118,Jakarta 2,12,KC Bogor,KC,"Jl. Dewi Sartika No.6",Jawa Barat,Kota Bogor
119,Jakarta 2,193,KC Jakarta Kebayoran Baru,KC,"Jl. Wolter Mongonsidi No.22 RT.2 RW.2",DKI Jakarta,Kota Jakarta Selatan
120,Jakarta 2,359,KC Jakarta Gatot Subroto,KC,"Jl. Gatot Subroto Kav. 9-11",DKI Jakarta,Kota Jakarta Selatan
121,Jakarta 2,442,KC Jakarta Kramat Jati,KC,"Jl. Raya Bogor No. 130 RT 02 RW 06",DKI Jakarta,Kota Jakarta Timur
122,Jakarta 2,341,KC Jakarta Warung Buncit,KC,"Jl. Mampang Prapatan No. 19",DKI Jakarta,Kota Jakarta Selatan
123,Jakarta 3,396,KC Jakarta Joglo,KC,"Puri Botanical Garden Blok H 7 No 1-2, Jl. Raya Joglo",DKI Jakarta,Kota Jakarta Barat
124,Jakarta 3,395,KC Jakarta Tanjung Duren,KC,"Jl. Tanjung Duren Barat I No 34",DKI Jakarta,Kota Jakarta Barat
